X,Y,Z,Flood_Depth_m,Velocity_m_s
-87.5,16.28,155.38,0.108365655,0.08867839
-29.27,35.28,137.88,2.1129258,0.72611386
-29.28,35.37,138.17,1.9464643,0.66974115
-29.44,35.7,138.01,1.9956552,0.64564115
-29.25,36.06,139.52,0.8091817,0.42079446
-28.99,36.02,138.87,1.1289452,0.50430804
-28.81,35.78,140.93,0.19347899,0.23463264
-28.74,35.81,138.99,0.99503094,0.45851547
-28.78,35.94,140.57,0.3567151,0.3041427
-28.81,36.21,139.55,0.754258,0.40471748
-28.7,34.53,136.69,3.536464,0.95226634
-28.63,35.41,138.01,2.670922,0.828167
-28.44,35.08,137.56,2.8975794,0.69030774
-28.31,35.62,138.17,2.4832084,0.7584862
-28.36,35.94,141.05,0.21488723,0.24405845
-28.11,-13.31,161.13,0.1090642,0.08896802
-28.01,34.13,137.2,2.664312,0.81180865
-28.07,35.83,138.84,1.8149296,0.6078662
-27.85,35.7,138.81,1.8678643,0.66987336
-27.81,35.79,139.04,1.7119632,0.62695146
-27.72,34.91,138.06,2.1005628,0.70320547
-27.4,33.61,137.42,2.5060303,0.78818834
-27.46,35.61,138.79,1.7511709,0.59792244
-27.23,36.34,138.34,1.8188515,0.63591444
-27.26,36.32,138.68,1.685648,0.61197835
-27.11,34.01,137.28,3.2782362,0.91541326
-27.2,33.83,138.22,1.9106276,0.66464067
-27.02,34.09,137.27,3.0994244,0.8701611
-27.04,34.86,138.07,2.6349304,0.7954992
-27.04,35.53,138.58,1.6808228,0.63282096
-27.01,35.52,138.7,1.5265939,0.5868417
-26.75,35.62,138.61,1.4597998,0.575626
-26.74,36.41,139.1,1.0566385,0.4694692
-26.52,33.08,136.21,3.6956894,0.9955216
-26.64,35.03,138.22,2.5304806,0.80556536
-26.66,36.31,139.08,0.9226111,0.43601412
-26.27,35.04,137.56,2.4494667,0.77730197
-26.46,35.95,138.54,1.4446843,0.57587904
-26.45,36.46,138.38,2.4724352,0.59637666
-26.17,36.07,137.68,2.3040693,0.7488364
-25.84,34.3,136.72,1.7058733,0.58549404
-25.67,35.42,137.42,1.9703523,0.64658517
-25.53,36.62,137.5,1.8850088,0.6263663
-25.32,34.68,135.6,3.285667,0.78689647
-25.4,34.68,136.2,3.4809687,0.9454022
-25.43,35.08,135.98,3.5878637,0.9660709
-25.29,36.79,136.28,3.580404,0.9633322
-25.26,36.85,136.12,3.6666074,0.9780172
-25.38,36.99,136.86,3.353186,0.9273969
-25.18,35.15,135.37,4.0079713,1.0536138
-25.22,37.05,136.15,3.6562707,0.9770954
-25.18,36.91,136.55,3.4585626,0.94243324
-25.18,37.17,136.34,3.4280941,0.9161879
-25.09,41.34,137.56,2.4557493,0.77836245
-24.77,34.5,135.21,3.9798424,1.0359583
-24.97,34.88,135.06,4.064834,1.0422106
-24.74,36.99,135.36,3.2998376,0.7902849
-24.75,37.33,137.34,3.114142,0.8839758
-24.86,40.81,137.06,2.6978242,0.82897377
-24.56,-236.05,156.36,0.10799025,0.08852178
-24.49,35.3,137.85,1.3448768,0.5246094
-24.59,35.63,137.63,1.4630644,0.5625296
-24.66,40.4,136.68,2.8344343,0.8528092
-24.67,40.86,137.25,2.5640085,0.80785733
-24.22,36.89,136.11,2.2468345,0.68838423
-24.06,39.97,137.29,2.7111704,0.8210283
-24.02,41.01,137.6,2.4173536,0.7710552
-23.82,36.41,135.51,3.7990727,1.0038521
-23.84,37.35,137.64,1.7314942,0.6214951
-23.59,36.49,135.36,3.9040334,1.019786
-23.48,36.59,135.37,3.827247,1.0116154
-23.6,37.05,137.75,1.6492478,0.59943473
-23.58,37.63,135.96,3.245545,0.7770841
-23.59,37.68,137.55,1.988909,0.68054914
-23.57,38.17,137.54,2.2311795,0.7074531
-23.62,41.78,137.52,2.658623,0.82184607
-23.4,35.7,135.3,3.4420793,0.8447415
-23.45,36.52,135.25,3.9934304,1.0494609
-23.35,36.54,135.39,3.7204697,0.9814461
-23.23,37.52,135.46,4.1638546,1.0771369
-23.39,37.45,137.56,1.7611377,0.6304718
-23.25,37.74,136.94,2.021927,0.6912435
-23.42,41.14,137.74,3.041835,0.86103874
-23.38,41.92,137.57,2.576102,0.78396356
-23.03,37.81,136.13,3.7202694,0.9986786
-23.02,37.84,137.27,1.8263355,0.6464968
-23.04,41.27,137.63,3.4254787,0.93598694
-23.03,41.36,137.68,3.0607464,0.8644934
-23.18,41.83,137.75,2.618953,0.8125405
-22.92,36.3,135.72,3.5797875,0.97121793
-22.9,36.76,135.23,3.635063,0.96574414
-22.88,38.06,137.56,1.60953,0.5829081
-22.86,40.06,137.71,1.735079,0.62663066
-22.71,-25.07,158.12,0.1090642,0.08896802
-22.68,38.02,136.58,2.3572547,0.77614456
-22.53,40.29,137.54,1.7625139,0.63466895
-22.69,40.49,137.82,1.6579795,0.60558105
-22.46,38.2,137.08,1.9632013,0.65957934
-22.31,39.26,137.62,1.7529488,0.6060193
-21.98,38.98,137.27,2.5636551,0.7611539
-22.01,39.88,137.6,2.7207015,0.6095888
-21.8,38.54,137.1,2.7374463,0.8309699
-21.93,38.7,137.12,2.8671117,0.85021675
-21.91,40.23,138.03,1.6246171,0.58450985
-21.96,41.48,138.02,3.5126085,0.9415518
-21.28,39.56,137.52,2.7587693,0.6214201
-21.39,41.69,138.6,3.1060617,0.8699007
-21.16,38.74,137.17,2.2656672,0.749329
-20.95,38.44,136.98,2.3487566,0.7539448
-20.94,39.16,137.09,3.14127,0.77521724
-20.88,40.05,137.9,1.6547132,0.5890923
-20.29,-242.28,156.9,0.10920451,0.08904579
25.29,-57.78,158.13,0.10888929,0.08889561
44.85,-89.6,154.38,0.10872363,0.08882689
64.68,-20.18,157.41,0.10922013,0.089050025
83.66,-178.81,157.11,0.10911091,0.088992566
92.01,27.45,156.88,0.1090642,0.08896802
112.54,172.36,156.36,0.10888342,0.088892706
116.78,-136.98,163.01,0.109204404,0.08904548
158.15,37.33,157.47,0.109224565,0.08905236
165.4,86.83,163.13,0.1088835,0.088892266
166.24,210.53,155.61,0.10873032,0.088830285
187.95,-81.13,159.24,0.10922013,0.089050025
190.64,-40.7,156.89,0.109069385,0.0889867
219.97,-85.26,160.29,0.109170444,0.08903011
220.68,70.48,162.94,0.109241985,0.089061506
248.82,-102.88,158.28,0.10917233,0.08903066
280.7,-44.61,158.19,0.109121,0.089009404
295.05,151.34,162.63,0.108000375,0.08852371
310.85,-10.61,158.86,0.108554415,0.088756666
318.76,3.48,157.61,0.1090642,0.08896802
327.78,119.08,161.4,0.10907013,0.08898707
393.51,-68.38,159.96,0.109224565,0.08905236
435.75,10.88,159.87,0.10889185,0.08889671
478.48,5.78,155.61,0.108367495,0.08868082
